dataset,gk_gamma,acc,f1_score,roc_auc_score
NCI1,3.8e-05,0.8603,0.8601,0.9141
NCI1,5.5e-05,0.8606,0.8604,0.9142
NCI1,7.8e-05,0.8605,0.8602,0.9142
NCI1,0.000113,0.8608,0.8606,0.9142
NCI1,0.000162,0.8608,0.8606,0.9142
NCI1,0.000234,0.8608,0.8606,0.9142
NCI1,0.000336,0.8605,0.8602,0.9142
NCI1,0.000483,0.8608,0.8606,0.9142
NCI1,0.000695,0.8606,0.8604,0.9143
NCI1,0.001,0.8604,0.8602,0.9144
DHFR_MD,0.0001,0.7271,0.6636,0.7243999999999999
DHFR_MD,0.000113,0.7288,0.6666,0.72525
DHFR_MD,0.000127,0.72795,0.6659999999999999,0.72555
DHFR_MD,0.000144,0.72795,0.6659999999999999,0.7253000000000001
DHFR_MD,0.000162,0.7271,0.6653,0.7262500000000001
DHFR_MD,0.000183,0.7271,0.6653,0.72715
DHFR_MD,0.000207,0.7279500000000001,0.6677500000000001,0.728
DHFR_MD,0.000234,0.7271000000000001,0.66715,0.729
DHFR_MD,0.000264,0.7271000000000001,0.66715,0.72915
DHFR_MD,0.000298,0.7271000000000001,0.66715,0.73045
DHFR_MD,0.000336,0.7254,0.6668000000000001,0.7319
DHFR_MD,0.000379,0.7254,0.6668000000000001,0.73255
DHFR_MD,0.000428,0.7254,0.6668000000000001,0.73395
DHFR_MD,0.000483,0.7254,0.6668000000000001,0.734
DHFR_MD,0.000546,0.7254,0.6668000000000001,0.7351
DHFR_MD,0.000616,0.7254,0.6668000000000001,0.7363999999999999
DHFR_MD,0.000695,0.7262500000000001,0.66835,0.7366999999999999
DHFR_MD,0.000785,0.7254499999999999,0.6676500000000001,0.7378
DHFR_MD,0.000886,0.7254499999999999,0.6676500000000001,0.73755
DHFR_MD,0.001,0.7254499999999999,0.6676500000000001,0.73785
PROTEINS,0.0,0.7652,0.7628,0.8327
PROTEINS,1e-06,0.7652,0.7628,0.8327
PROTEINS,2e-06,0.7653,0.7628,0.8327
PROTEINS,3e-06,0.7652,0.7628,0.8327
PROTEINS,4e-06,0.7652,0.7628,0.8327
PROTEINS,5e-06,0.7652,0.7628,0.8327
PROTEINS,6e-06,0.7652,0.7628,0.8327
PROTEINS,7e-06,0.7651642857142856,0.7627642857142858,0.8327
PROTEINS,8e-06,0.7651642857142856,0.7627642857142858,0.8327
PROTEINS,9e-06,0.7651642857142856,0.7627642857142858,0.8327
PROTEINS,1e-05,0.7651642857142856,0.7627642857142858,0.8327
PROTEINS,1.1e-05,0.7651642857142856,0.7627642857142858,0.8326928571428571
